,genes
8062,ODAM
8063,ODC1
8064,ODF1
8065,ODF2
8066,ODF2L
8067,ODF3
8068,ODF3B
8069,ODF3L1
8070,ODF3L2
8071,ODF4
8072,OFD1
8073,OGDH
8074,OGDHL
8075,OGFOD1
8076,OGFR
8077,OGFRL1
8078,OGN
8079,OGT
8080,OIP5
8081,OIT3
8082,OLA1
8083,OLFM1
8084,OLFM2
8085,OLFM3
8086,OLFM4
8087,OLFML1
8088,OLFML2A
8089,OLFML2B
8090,OLFML3
8091,OLIG1
8092,OLIG2
8093,OLIG3
8094,OLR1
8095,OMD
8096,OMG
8097,ONECUT1
8098,ONECUT2
8099,ONECUT3
8100,OOEP
8101,OPA1
8102,OPALIN
8103,OPCML
8104,OPHN1
8105,OPN1SW
8106,OPN3
8107,OPN4
8108,OPN5
8109,OPRD1
8110,OPRK1
8111,OPRL1
8112,OPRM1
8113,OPTC
8114,OPTN
8115,OR10A3
8116,OR10A4
8117,OR10A5
8118,OR10H1
8119,OR10H2
8120,OR10H3
8121,OR10J1
8122,OR13C4
8123,OR1A1
8124,OR1A2
8125,OR1C1
8126,OR1D2
8127,OR1E1
8128,OR1G1
8129,OR1I1
8130,OR1J2
8131,OR1J4
8132,OR2B2
8133,OR2B6
8134,OR2C1
8135,OR2C3
8136,OR2F2
8137,OR2H1
8138,OR2J2
8139,OR2J3
8140,OR2K2
8141,OR2L13
8142,OR2M4
8143,OR2W3
8144,OR3A2
8145,OR3A3
8146,OR4D1
8147,OR4D2
8148,OR51B6
8149,OR51E1
8150,OR51E2
8151,OR51I2
8152,OR51M1
8153,OR52A1
8154,OR52D1
8155,OR5H1
8156,OR5I1
8157,OR5J2
8158,OR5K1
8159,OR5L2
8160,OR6A2
8161,OR6B1
8162,OR7A10
8163,OR7A17
8164,OR7A5
8165,OR7C1
8166,OR7C2
8167,OR7D2
8168,OR7E24
8169,OR8B8
8170,OR8D1
8171,ORAI2
8172,ORC1
8173,ORC2
8174,ORC3
8175,ORC4
8176,ORC5
8177,ORC6
8178,ORM1
8179,ORMDL1
8180,ORMDL2
8181,ORMDL3
8182,OS9
8183,OSBP
8184,OSBPL10
8185,OSBPL11
8186,OSBPL1A
8187,OSBPL2
8188,OSBPL3
8189,OSBPL5
8190,OSBPL6
8191,OSBPL7
8192,OSBPL8
8193,OSBPL9
8194,OSCAR
8195,OSCP1
8196,OSGEP
8197,OSGEPL1
8198,OSGIN1
8199,OSGIN2
8200,OSM
8201,OSMR
8202,OSR1
8203,OSR2
8204,OST4
8205,OSTC
8206,OSTF1
8207,OSTM1
8208,OTOF
8209,OTOP2
8210,OTOR
8211,OTOS
8212,OTP
8213,OTUB1
8214,OTUB2
8215,OTUD1
8216,OTUD3
8217,OTUD4
8218,OTUD5
8219,OTUD6B
8220,OTUD7A
8221,OTX1
8222,OTX2
8223,OVGP1
8224,OVOL1
8225,OVOL2
8226,OXA1L
8227,OXCT1
8228,OXER1
8229,OXGR1
8230,OXNAD1
8231,OXR1
8232,OXSM
8233,OXSR1
8234,OXT
8235,OXTR
8236,P2RX1
8237,P2RX3
8238,P2RX4
8239,P2RX6
8240,P2RX7
8241,P2RY1
8242,P2RY10
8243,P2RY12
8244,P2RY13
8245,P2RY14
8246,P2RY2
8247,P2RY4
8248,P2RY6
8249,P2RY8
8250,P4HA1
8251,P4HA2
8252,P4HA3
8253,P4HB
8254,P4HTM
8255,PA2G4
8256,PAAF1
8257,PABPC1L
8258,PABPC3
8259,PABPC4
8260,PABPC4L
8261,PABPC5
8262,PABPN1
8263,PACRG
8264,PACS1
8265,PACS2
8266,PACSIN1
8267,PACSIN2
8268,PACSIN3
8269,PADI1
8270,PADI2
8271,PADI3
8272,PADI4
8273,PAEP
8274,PAF1
8275,PAFAH1B1
8276,PAFAH1B2
8277,PAFAH1B3
8278,PAFAH2
8279,PAG1
8280,PAGE5
8281,PAH
8282,PAICS
8283,PAIP1
8284,PAIP2
8285,PAIP2B
8286,PAK1
8287,PAK1IP1
8288,PAK2
8289,PAK3
8290,PAK4
8291,PAK6
8292,PALB2
8293,PALLD
8294,PALM
8295,PALM3
8296,PALMD
8297,PAM
8298,PAMR1
8299,PAN2
8300,PAN3
8301,PANK1
8302,PANK2
8303,PANK3
8304,PANK4
8305,PANX1
8306,PANX2
8307,PANX3
8308,PAOX
8309,PAPLN
8310,PAPOLA
8311,PAPOLG
8312,PAPPA
8313,PAPPA2
8314,PAPSS1
8315,PAPSS2
8316,PAQR3
8317,PAQR4
8318,PAQR5
8319,PAQR6
8320,PAQR7
8321,PAQR8
8322,PAQR9
8323,PARD3
8324,PARD6A
8325,PARD6B
8326,PARD6G
8327,PARG
8328,PARK7
8329,PARL
8330,PARM1
8331,PARN
8332,PARP1
8333,PARP10
8334,PARP11
8335,PARP12
8336,PARP14
8337,PARP15
8338,PARP16
8339,PARP2
8340,PARP3
8341,PARP4
8342,PARP6
8343,PARP8
8344,PARP9
8345,PARPBP
8346,PARS2
8347,PARVA
8348,PARVB
8349,PARVG
8350,PASD1
8351,PASK
8352,PATE1
8353,PATE2
8354,PATL1
8355,PATL2
8356,PATZ1
8357,PAWR
8358,PAX1
8359,PAX2
8360,PAX3
8361,PAX5
8362,PAX6
8363,PAX7
8364,PAX8
8365,PAX9
8366,PAXIP1
8367,PBK
8368,PBLD
8369,PBOV1
8370,PBX1
8371,PBX2
8372,PBX3
8373,PBX4
8374,PBXIP1
8375,PC
8376,PCBD1
8377,PCBD2
8378,PCBP1
8379,PCBP2
8380,PCBP3
8381,PCBP4
8382,PCCA
8383,PCCB
8384,PCDH1
8385,PCDH10
8386,PCDH12
8387,PCDH15
8388,PCDH17
8389,PCDH18
8390,PCDH19
8391,PCDH7
8392,PCDH8
8393,PCDH9
8394,PCDHB1
8395,PCDHB10
8396,PCDHB11
8397,PCDHB12
8398,PCDHB13
8399,PCDHB14
8400,PCDHB15
8401,PCDHB2
8402,PCDHB4
8403,PCDHB5
8404,PCDHB6
8405,PCDHB7
8406,PCDHB8
8407,PCDHGA1
8408,PCF11
8409,PCGF1
8410,PCGF3
8411,PCGF5
8412,PCGF6
8413,PCID2
8414,PCIF1
8415,PCK1
8416,PCK2
8417,PCLO
8418,PCM1
8419,PCMT1
8420,PCMTD1
8421,PCMTD2
8422,PCNA
8423,PCNP
8424,PCNT
8425,PCOLCE
8426,PCOLCE2
8427,PCP2
8428,PCP4
8429,PCP4L1
8430,PCSK1
8431,PCSK1N
8432,PCSK2
8433,PCSK4
8434,PCSK5
8435,PCSK6
8436,PCSK7
8437,PCSK9
8438,PCTP
8439,PCYOX1
8440,PCYOX1L
8441,PCYT1A
8442,PCYT1B
8443,PCYT2
8444,PDAP1
8445,PDC
8446,PDCD1
8447,PDCD10
8448,PDCD11
8449,PDCD1LG2
8450,PDCD2
8451,PDCD2L
8452,PDCD4
8453,PDCD5
8454,PDCD6
8455,PDCD6IP
8456,PDCD7
8457,PDCL
8458,PDCL2
8459,PDE10A
8460,PDE11A
8461,PDE12
8462,PDE1A
8463,PDE1B
8464,PDE1C
8465,PDE2A
8466,PDE3A
8467,PDE3B
8468,PDE4A
8469,PDE4B
8470,PDE4C
8471,PDE4D
8472,PDE4DIP
8473,PDE5A
8474,PDE6A
8475,PDE6B
8476,PDE6C
8477,PDE6D
8478,PDE6G
8479,PDE6H
8480,PDE7A
8481,PDE7B
8482,PDE8A
8483,PDE8B
8484,PDE9A
8485,PDGFA
8486,PDGFB
8487,PDGFC
8488,PDGFD
8489,PDGFRA
8490,PDGFRB
8491,PDGFRL
8492,PDHA2
8493,PDHB
8494,PDHX
8495,PDIA2
8496,PDIA3
8497,PDIA4
8498,PDIA5
8499,PDIA6
8500,PDIK1L
8501,PDILT
8502,PDK1
8503,PDK2
8504,PDK3
8505,PDK4
8506,PDLIM1
8507,PDLIM3
8508,PDLIM4
8509,PDLIM5
8510,PDLIM7
8511,PDP1
8512,PDP2
8513,PDPN
8514,PDPR
8515,PDRG1
8516,PDS5A
8517,PDS5B
8518,PDSS1
8519,PDSS2
8520,PDX1
8521,PDXK
8522,PDYN
8523,PDZD11
8524,PDZD2
8525,PDZD3
8526,PDZD4
8527,PDZD7
8528,PDZD8
8529,PDZD9
8530,PDZK1IP1
8531,PDZRN3
8532,PDZRN4
8533,PEA15
8534,PEAK1
8535,PEAR1
8536,PEBP1
8537,PEBP4
8538,PECR
8539,PEF1
8540,PEG10
8541,PELI1
8542,PELI2
8543,PELI3
8544,PELP1
8545,PEMT
8546,PENK
8547,PEPD
8548,PER1
8549,PER2
8550,PER3
8551,PERP
8552,PES1
8553,PEX1
8554,PEX11A
8555,PEX11B
8556,PEX11G
8557,PEX12
8558,PEX13
8559,PEX14
8560,PEX16
8561,PEX2
8562,PEX26
8563,PEX3
8564,PEX5
8565,PEX5L
8566,PEX6
8567,PEX7
8568,PF4
8569,PF4V1
8570,PFAS
8571,PFDN2
8572,PFDN4
8573,PFDN5
8574,PFDN6
8575,PFKFB1
8576,PFKFB2
8577,PFKFB3
8578,PFKFB4
8579,PFKL
8580,PFKM
8581,PFKP
8582,PFN1
8583,PFN2
8584,PFN4
8585,PGAM2
8586,PGAM5
8587,PGAP1
8588,PGAP2
8589,PGAP3
8590,PGBD1
8591,PGBD2
8592,PGBD4
8593,PGBD5
8594,PGC
8595,PGD
8596,PGF
8597,PGGT1B
8598,PGK1
8599,PGK2
8600,PGLS
8601,PGLYRP1
8602,PGLYRP2
8603,PGLYRP3
8604,PGLYRP4
8605,PGM2
8606,PGM2L1
8607,PGM3
8608,PGM5
8609,PGP
8610,PGPEP1
8611,PGR
8612,PGRMC1
8613,PGRMC2
8614,PGS1
8615,PHACTR1
8616,PHACTR2
8617,PHACTR3
8618,PHACTR4
8619,PHAX
8620,PHB
8621,PHB2
8622,PHC2
8623,PHC3
8624,PHEX
8625,PHF1
8626,PHF10
8627,PHF11
8628,PHF12
8629,PHF13
8630,PHF14
8631,PHF19
8632,PHF2
8633,PHF20
8634,PHF20L1
8635,PHF21A
8636,PHF21B
8637,PHF23
8638,PHF3
8639,PHF5A
8640,PHF6
8641,PHF7
8642,PHF8
8643,PHGDH
8644,PHGR1
8645,PHIP
8646,PHKA1
8647,PHKA2
8648,PHKB
8649,PHKG1
8650,PHKG2
8651,PHLDA1
8652,PHLDA2
8653,PHLDA3
8654,PHLDB1
8655,PHLDB2
8656,PHLDB3
8657,PHLPP1
8658,PHLPP2
8659,PHOSPHO1
8660,PHOX2A
8661,PHOX2B
8662,PHPT1
8663,PHRF1
8664,PHTF1
8665,PHTF2
8666,PHYH
8667,PHYHD1
8668,PHYHIP
8669,PHYHIPL
8670,PI15
8671,PI16
8672,PI3
8673,PI4K2A
8674,PI4K2B
8675,PI4KB
8676,PIAS1
8677,PIAS2
8678,PIAS3
8679,PIAS4
8680,PIBF1
8681,PICALM
8682,PICK1
8683,PID1
8684,PIEZO1
8685,PIEZO2
8686,PIF1
8687,PIGA
8688,PIGB
8689,PIGC
8690,PIGF
8691,PIGG
8692,PIGH
8693,PIGK
8694,PIGL
8695,PIGM
8696,PIGN
8697,PIGO
8698,PIGP
8699,PIGQ
8700,PIGR
8701,PIGT
8702,PIGU
8703,PIGV
8704,PIGZ
8705,PIH1D1
8706,PIH1D2
8707,PIK3AP1
8708,PIK3C2A
8709,PIK3C2B
8710,PIK3C2G
8711,PIK3C3
8712,PIK3CA
8713,PIK3CB
8714,PIK3CD
8715,PIK3CG
8716,PIK3IP1
8717,PIK3R1
8718,PIK3R2
8719,PIK3R3
8720,PIK3R4
8721,PIK3R5
8722,PIKFYVE
8723,PILRA
8724,PILRB
8725,PIM1
8726,PIM2
8727,PIM3
8728,PIN1
8729,PIN4
8730,PINK1
8731,PIP
8732,PIP4K2A
8733,PIP4K2C
8734,PIP5K1A
8735,PIP5K1B
8736,PIP5K1C
8737,PIP5KL1
8738,PIPOX
8739,PIR
8740,PIRT
8741,PISD
8742,PITHD1
8743,PITPNA
8744,PITPNB
8745,PITPNC1
8746,PITPNM1
8747,PITPNM2
8748,PITPNM3
8749,PITRM1
8750,PITX1
8751,PITX2
8752,PITX3
8753,PIWIL1
8754,PIWIL2
8755,PIWIL4
8756,PJA1
8757,PJA2
8758,PKD1
8759,PKD1L2
8760,PKD2
8761,PKD2L1
8762,PKD2L2
8763,PKDCC
8764,PKDREJ
8765,PKHD1
8766,PKHD1L1
8767,PKIA
8768,PKIB
8769,PKIG
8770,PKLR
8771,PKMYT1
8772,PKN1
8773,PKN2
8774,PKN3
8775,PKNOX1
8776,PKNOX2
8777,PKP1
8778,PKP2
8779,PKP3
8780,PKP4
8781,PLA1A
8782,PLA2G10
8783,PLA2G12A
8784,PLA2G12B
8785,PLA2G15
8786,PLA2G1B
8787,PLA2G2A
8788,PLA2G2D
8789,PLA2G2E
8790,PLA2G2F
8791,PLA2G3
8792,PLA2G4A
8793,PLA2G4C
8794,PLA2G4D
8795,PLA2G4F
8796,PLA2G5
8797,PLA2G6
8798,PLA2G7
8799,PLA2R1
8800,PLAA
8801,PLAC1
8802,PLAC8
8803,PLAC8L1
8804,PLAC9
8805,PLAG1
8806,PLAGL1
8807,PLAGL2
8808,PLAT
8809,PLAU
8810,PLAUR
8811,PLB1
8812,PLBD1
8813,PLBD2
8814,PLCB1
8815,PLCB2
8816,PLCB3
8817,PLCB4
8818,PLCD1
8819,PLCD3
8820,PLCD4
8821,PLCE1
8822,PLCG1
8823,PLCG2
8824,PLCH1
8825,PLCH2
8826,PLCL1
8827,PLCL2
8828,PLCXD1
8829,PLCXD3
8830,PLCZ1
8831,PLD1
8832,PLD2
8833,PLD3
8834,PLD4
8835,PLD5
8836,PLD6
8837,PLEC
8838,PLEK
8839,PLEK2
8840,PLEKHA1
8841,PLEKHA2
8842,PLEKHA4
8843,PLEKHA6
8844,PLEKHA7
8845,PLEKHB1
8846,PLEKHB2
8847,PLEKHF1
8848,PLEKHF2
8849,PLEKHG1
8850,PLEKHG2
8851,PLEKHG4
8852,PLEKHG4B
8853,PLEKHG5
8854,PLEKHG6
8855,PLEKHH1
8856,PLEKHH2
8857,PLEKHH3
8858,PLEKHJ1
8859,PLEKHM2
8860,PLEKHM3
8861,PLEKHO1
8862,PLG
8863,PLIN1
8864,PLIN2
8865,PLIN3
8866,PLIN4
8867,PLIN5
8868,PLK1
8869,PLK2
8870,PLK3
8871,PLK4
8872,PLLP
8873,PLN
8874,PLOD1
8875,PLOD2
8876,PLOD3
8877,PLP1
8878,PLP2
8879,PLRG1
8880,PLS1
8881,PLS3
8882,PLSCR1
8883,PLSCR2
8884,PLSCR4
8885,PLTP
8886,PLVAP
8887,PLXDC1
8888,PLXDC2
8889,PLXNA1
8890,PLXNA2
8891,PLXNA3
8892,PLXNA4
8893,PLXNB1
8894,PLXNB2
8895,PLXNB3
8896,PLXNC1
8897,PLXND1
8898,PM20D1
8899,PM20D2
8900,PMAIP1
8901,PMCH
8902,PMEL
8903,PMEPA1
8904,PMFBP1
8905,PML
8906,PMM1
8907,PMM2
8908,PMP2
8909,PMP22
8910,PMPCA
8911,PMPCB
8912,PMS1
8913,PMVK
8914,PNCK
8915,PNISR
8916,PNKD
8917,PNKP
8918,PNLDC1
8919,PNLIP
8920,PNLIPRP1
8921,PNLIPRP3
8922,PNMA1
8923,PNMA2
8924,PNMA3
8925,PNMT
8926,PNN
8927,PNO1
8928,PNOC
8929,PNP
8930,PNPLA1
8931,PNPLA2
8932,PNPLA3
8933,PNPLA4
8934,PNPLA5
8935,PNPLA6
8936,PNPLA7
8937,PNPLA8
8938,PNPT1
8939,PNRC1
8940,PNRC2
8941,POC1A
8942,POC1B
8943,POC5
8944,PODN
8945,PODNL1
8946,PODXL
8947,PODXL2
8948,POF1B
8949,POFUT1
8950,POFUT2
8951,POGK
8952,POGLUT1
8953,POGZ
8954,POLA1
8955,POLA2
8956,POLB
8957,POLD1
8958,POLD2
8959,POLD3
8960,POLDIP3
8961,POLE
8962,POLE2
8963,POLE3
8964,POLE4
8965,POLG
8966,POLG2
8967,POLH
8968,POLI
8969,POLK
8970,POLL
8971,POLM
8972,POLN
8973,POLQ
8974,POLR1A
8975,POLR1B
8976,POLR1C
8977,POLR1D
8978,POLR2A
8979,POLR2B
8980,POLR2C
8981,POLR2D
8982,POLR2E
8983,POLR2F
8984,POLR2G
8985,POLR2I
8986,POLR2J
8987,POLR2K
8988,POLR2L
8989,POLR2M
8990,POLR3A
8991,POLR3B
8992,POLR3C
8993,POLR3D
8994,POLR3E
8995,POLR3F
8996,POLR3G
8997,POLR3GL
8998,POLR3H
8999,POLR3K
9000,POLRMT
9001,POM121L12
9002,POM121L2
9003,POMC
9004,POMGNT1
9005,POMP
9006,POMT1
9007,POMT2
9008,PON1
9009,PON2
9010,POP1
9011,POP4
9012,POP5
9013,POP7
9014,POPDC2
9015,POPDC3
9016,POR
9017,PORCN
9018,POSTN
9019,POT1
9020,POU2AF1
9021,POU2F1
9022,POU2F2
9023,POU2F3
9024,POU3F1
9025,POU3F2
9026,POU3F3
9027,POU3F4
9028,POU4F1
9029,POU4F2
9030,POU4F3
9031,POU6F1
9032,POU6F2
9033,PPA1
9034,PPA2
9035,PPARA
9036,PPARD
9037,PPARG
9038,PPARGC1A
9039,PPARGC1B
9040,PPAT
9041,PPBP
9042,PPCDC
9043,PPCS
9044,PPDPF
9045,PPEF1
9046,PPEF2
9047,PPFIA1
9048,PPFIA2
9049,PPFIA3
9050,PPFIBP1
9051,PPFIBP2
9052,PPHLN1
9053,PPIA
9054,PPIB
9055,PPIC
9056,PPID
9057,PPIF
9058,PPIG
9059,PPIH
9060,PPIL1
9061,PPIL2
9062,PPIL4
9063,PPIP5K1
9064,PPIP5K2
9065,PPL
9066,PPM1A
9067,PPM1B
9068,PPM1D
9069,PPM1E
9070,PPM1F
9071,PPM1G
9072,PPM1J
9073,PPM1K
9074,PPM1L
9075,PPM1M
9076,PPM1N
9077,PPME1
9078,PPOX
9079,PPP1CA
9080,PPP1CB
9081,PPP1CC
9082,PPP1R10
9083,PPP1R11
9084,PPP1R12A
9085,PPP1R12B
9086,PPP1R12C
9087,PPP1R13B
9088,PPP1R13L
9089,PPP1R14A
9090,PPP1R14C
9091,PPP1R14D
9092,PPP1R15A
9093,PPP1R15B
9094,PPP1R16A
9095,PPP1R16B
9096,PPP1R17
9097,PPP1R18
9098,PPP1R1A
9099,PPP1R1B
9100,PPP1R1C
9101,PPP1R2
9102,PPP1R21
9103,PPP1R26
9104,PPP1R27
9105,PPP1R32
9106,PPP1R35
9107,PPP1R36
9108,PPP1R3A
9109,PPP1R3B
9110,PPP1R3C
9111,PPP1R3D
9112,PPP1R3F
9113,PPP1R7
9114,PPP1R8
9115,PPP1R9A
9116,PPP2CB
9117,PPP2R1A
9118,PPP2R1B
9119,PPP2R2A
9120,PPP2R2B
9121,PPP2R2C
9122,PPP2R2D
9123,PPP2R3A
9124,PPP2R3B
9125,PPP2R3C
9126,PPP2R5A
9127,PPP2R5B
9128,PPP2R5C
9129,PPP2R5D
9130,PPP2R5E
9131,PPP3CA
9132,PPP3CB
9133,PPP3CC
9134,PPP3R1
9135,PPP4C
9136,PPP4R1
9137,PPP4R2
9138,PPP4R4
9139,PPP5C
9140,PPP6R1
9141,PPP6R2
9142,PPP6R3
9143,PPRC1
9144,PPT1
9145,PPTC7
9146,PPWD1
9147,PPY
9148,PQBP1
9149,PRADC1
9150,PRAF2
9151,PRAME
9152,PRAMEF12
9153,PRB1
9154,PRC1
9155,PRCC
9156,PRCD
9157,PRCP
9158,PRDM1
9159,PRDM10
9160,PRDM11
9161,PRDM12
9162,PRDM13
9163,PRDM14
9164,PRDM15
9165,PRDM16
9166,PRDM2
9167,PRDM4
9168,PRDM5
9169,PRDM6
9170,PRDM7
9171,PRDM8
9172,PRDM9
9173,PRDX1
9174,PRDX2
9175,PRDX3
9176,PRDX4
9177,PRDX5
9178,PRDX6
9179,PREB
9180,PRELID2
9181,PRELP
9182,PREP
9183,PREPL
9184,PREX1
9185,PREX2
9186,PRF1
9187,PRG3
9188,PRG4
9189,PRICKLE1
9190,PRICKLE2
9191,PRICKLE3
9192,PRIM1
9193,PRIMA1
9194,PRKAA1
9195,PRKAA2
9196,PRKAB1
9197,PRKAB2
9198,PRKACA
9199,PRKACB
9200,PRKACG
9201,PRKAG1
9202,PRKAG2
9203,PRKAG3
9204,PRKAR1A
9205,PRKAR1B
9206,PRKAR2A
9207,PRKAR2B
9208,PRKCA
9209,PRKCB
9210,PRKCD
9211,PRKCE
9212,PRKCG
9213,PRKCI
9214,PRKCQ
9215,PRKCSH
9216,PRKCZ
9217,PRKD1
9218,PRKD2
9219,PRKD3
9220,PRKDC
9221,PRKG2
9222,PRKRA
9223,PRKRIP1
9224,PRKX
9225,PRL
9226,PRLH
9227,PRLHR
9228,PRLR
9229,PRM1
9230,PRM2
9231,PRM3
9232,PRMT1
9233,PRMT2
9234,PRMT3
9235,PRMT5
9236,PRMT6
9237,PRMT7
9238,PRMT8
9239,PRND
9240,PRNP
9241,PROC
9242,PROCR
9243,PRODH
9244,PRODH2
9245,PROK1
9246,PROK2
9247,PROKR2
9248,PROM1
9249,PROM2
9250,PROP1
9251,PROS1
9252,PROSER1
9253,PROX1
9254,PROX2
9255,PROZ
9256,PRPF19
9257,PRPF3
9258,PRPF31
9259,PRPF38A
9260,PRPF38B
9261,PRPF39
9262,PRPF4
9263,PRPF40A
9264,PRPF4B
9265,PRPF6
9266,PRPF8
9267,PRPH
9268,PRPH2
9269,PRPS1
9270,PRPS1L1
9271,PRPS2
9272,PRPSAP1
9273,PRPSAP2
9274,PRR12
9275,PRR14
9276,PRR14L
9277,PRR15
9278,PRR15L
9279,PRR16
9280,PRR18
9281,PRR19
9282,PRR22
9283,PRR4
9284,PRR5L
9285,PRR7
9286,PRRC1
9287,PRRC2A
9288,PRRC2B
9289,PRRC2C
9290,PRRG2
9291,PRRG3
9292,PRRG4
9293,PRRT1
9294,PRRT2
9295,PRRT3
9296,PRRX1
9297,PRRX2
9298,PRSS1
9299,PRSS12
9300,PRSS16
9301,PRSS21
9302,PRSS22
9303,PRSS23
9304,PRSS27
9305,PRSS3
9306,PRSS33
9307,PRSS35
9308,PRSS36
9309,PRSS37
9310,PRSS50
9311,PRSS54
9312,PRSS55
9313,PRSS58
9314,PRSS8
9315,PRTFDC1
9316,PRTG
9317,PRTN3
9318,PRUNE2
9319,PRX
9320,PSAP
9321,PSAPL1
9322,PSAT1
9323,PSCA
9324,PSD
9325,PSD2
9326,PSD3
9327,PSD4
9328,PSEN1
9329,PSEN2
9330,PSENEN
9331,PSG1
9332,PSG11
9333,PSG2
9334,PSG3
9335,PSG4
9336,PSG5
9337,PSG6
9338,PSG9
9339,PSIP1
9340,PSKH1
9341,PSKH2
9342,PSMA3
9343,PSMA4
9344,PSMA5
9345,PSMA7
9346,PSMA8
9347,PSMB1
9348,PSMB2
9349,PSMB4
9350,PSMB5
9351,PSMB6
9352,PSMB7
9353,PSMB8
9354,PSMB9
9355,PSMC2
9356,PSMC3
9357,PSMC3IP
9358,PSMC4
9359,PSMC5
9360,PSMC6
9361,PSMD1
9362,PSMD10
9363,PSMD11
9364,PSMD12
9365,PSMD14
9366,PSMD3
9367,PSMD4
9368,PSMD5
9369,PSMD6
9370,PSMD7
9371,PSMD8
9372,PSME1
9373,PSME3
9374,PSME4
9375,PSMF1
9376,PSMG1
9377,PSMG2
9378,PSMG3
9379,PSORS1C2
9380,PSPC1
9381,PSPH
9382,PSPN
9383,PSTK
9384,PSTPIP1
9385,PSTPIP2
9386,PTAFR
9387,PTAR1
9388,PTBP1
9389,PTBP2
9390,PTBP3
9391,PTCD1
9392,PTCD2
9393,PTCD3
9394,PTCH1
9395,PTCH2
9396,PTCHD1
9397,PTCHD4
9398,PTCRA
9399,PTDSS1
9400,PTDSS2
9401,PTEN
9402,PTER
9403,PTGDR
9404,PTGDR2
9405,PTGDS
9406,PTGER1
9407,PTGER2
9408,PTGER3
9409,PTGER4
9410,PTGES
9411,PTGES2
9412,PTGES3
9413,PTGFR
9414,PTGFRN
9415,PTGIR
9416,PTGIS
9417,PTGR1
9418,PTGS1
9419,PTGS2
9420,PTH
9421,PTH1R
9422,PTH2
9423,PTHLH
9424,PTK2
9425,PTK2B
9426,PTK6
9427,PTK7
9428,PTMA
9429,PTMS
9430,PTN
9431,PTOV1
9432,PTP4A1
9433,PTP4A2
9434,PTP4A3
9435,PTPDC1
9436,PTPN1
9437,PTPN11
9438,PTPN12
9439,PTPN13
9440,PTPN14
9441,PTPN18
9442,PTPN2
9443,PTPN21
9444,PTPN22
9445,PTPN23
9446,PTPN3
9447,PTPN4
9448,PTPN5
9449,PTPN6
9450,PTPN7
9451,PTPN9
9452,PTPRA
9453,PTPRB
9454,PTPRC
9455,PTPRCAP
9456,PTPRD
9457,PTPRE
9458,PTPRF
9459,PTPRG
9460,PTPRH
9461,PTPRJ
9462,PTPRK
9463,PTPRM
9464,PTPRN
9465,PTPRN2
9466,PTPRO
9467,PTPRR
9468,PTPRS
9469,PTPRT
9470,PTPRU
9471,PTPRZ1
9472,PTRH2
9473,PTRHD1
9474,PTS
9475,PTTG1
9476,PTTG1IP
9477,PTX3
9478,PUF60
9479,PUM1
9480,PUM2
9481,PURA
9482,PURB
9483,PURG
9484,PUS1
9485,PUS10
9486,PUS3
9487,PUS7
9488,PUS7L
9489,PUSL1
9490,PVALB
9491,PVR
9492,PWP1
9493,PWWP2A
9494,PWWP2B
9495,PXDC1
9496,PXDN
9497,PXDNL
9498,PXK
9499,PXMP4
9500,PXN
9501,PXT1
9502,PYCARD
9503,PYCR1
9504,PYDC1
9505,PYGB
9506,PYGL
9507,PYGM
9508,PYGO1
9509,PYGO2
9510,PYHIN1
9511,PYROXD1
9512,PYROXD2
9513,PYY
9514,PZP
9515,QDPR
9516,QKI
9517,QPCT
9518,QPCTL
9519,QPRT
9520,QRICH1
9521,QRICH2
9522,QRSL1
9523,QSER1
9524,QSOX1
9525,QSOX2
9526,QTRT1
9527,R3HCC1
9528,R3HDM1
9529,R3HDM4
9530,R3HDML
9531,RAB10
9532,RAB11A
9533,RAB11B
9534,RAB11FIP1
9535,RAB11FIP2
9536,RAB11FIP3
9537,RAB11FIP4
9538,RAB11FIP5
9539,RAB12
9540,RAB13
9541,RAB14
9542,RAB17
9543,RAB18
9544,RAB1A
9545,RAB20
9546,RAB21
9547,RAB22A
9548,RAB23
9549,RAB25
9550,RAB26
9551,RAB27A
9552,RAB27B
9553,RAB28
9554,RAB2A
9555,RAB2B
9556,RAB31
9557,RAB32
9558,RAB33A
9559,RAB33B
9560,RAB34
9561,RAB35
9562,RAB36
9563,RAB37
9564,RAB38
9565,RAB39A
9566,RAB39B
9567,RAB3A
9568,RAB3B
9569,RAB3C
9570,RAB3D
9571,RAB3GAP1
9572,RAB3GAP2
9573,RAB3IL1
9574,RAB40A
9575,RAB40B
9576,RAB40C
9577,RAB42
9578,RAB4A
9579,RAB4B
9580,RAB5A
9581,RAB5C
9582,RAB6A
9583,RAB6B
9584,RAB7A
9585,RAB8A
9586,RAB8B
9587,RAB9A
9588,RAB9B
9589,RABAC1
9590,RABEP1
9591,RABEP2
9592,RABEPK
9593,RABGAP1
9594,RABGAP1L
9595,RABGGTA
9596,RABGGTB
9597,RABIF
9598,RABL3
9599,RAC3
9600,RACGAP1
9601,RAD1
9602,RAD17
9603,RAD18
9604,RAD21
9605,RAD21L1
9606,RAD23A
9607,RAD23B
9608,RAD50
9609,RAD51AP1
9610,RAD51B
9611,RAD51C
9612,RAD51D
9613,RAD52
9614,RAD54B
9615,RAD54L
9616,RAD54L2
9617,RAD9A
9618,RAD9B
9619,RADIL
9620,RAE1
9621,RAET1E
9622,RAF1
9623,RAG1
9624,RAG2
